FAMILY,SPECIES,BODY LENGTH (mm),,,,,,,,OFFSPRING SIZE  (mm),,,,,,LONGEVITY (d),,,,,,GENERATIONS PER YEAR,,,,,,FECUNDITY,,,,EXPLANATORY VARIABLES (Y/N),,,,,
,,Male,ref.,Female,ref.,Mean (m+f),ref.,Mean (?sex),ref.,1st Instar,ref.,Egg Length,ref.,Egg Width,ref.,Nymph,ref.,Adult,ref.,Total,ref.,Voltinism,ref.,Univoltine,Bivoltine,Multivoltine,Semivoltine,Clutch Size,ref.,Clutches/yr,ref.,Habitat,Diet,Mating Syst.,Ovipos'n Site,Diapause St.,Act. Period
Acrididae,Bootettix argentatus,,,,,,,,,,,4.7,55,1.2,55,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Brachyexarna lobipennis,,,,,,,,,5.3,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Bruneria bruneria,15,1,19.75,1,17.375,1,17.375,1,6.2,1,5.95,1,,,43,1,,,,,,,,,,,6,1,,,X,,,,,
Acrididae,Bryodema tuberculata,28.5,2,34,2,31.25,2,31.25,2,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Acrididae,Buforania crassa,,,,,,,,,6.9,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Caledia captiva,,,,,,,,,5.2,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Calephorops virdis,,,,,,,,,4.567,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Calliptamus italicus,19,2,28.5,2,23.75,2,23.75,2,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Acrididae,Camnula pellucida,20.5,1,23.5,1,22,1,22,1,4.85,1,4.89,"1,55",1.37,55,33,1,60.25,"1,56",93.25,c,Univoltine,1,1,0,0,0,21.15,"1,55",7.95,"1,56",X,,,X,X,X
Acrididae,Campylacantha olivacea,,,,,,,,,,,4.23,55,1.09,55,,,,,,,,,,,,,43,55,,,,,,,,
Acrididae,Cataloipus oberthuri,,,,,,,,,,,5.717,9,,,,,,,,,,,,,,,62.5,9,,,X,,,,X,
Acrididae,Catantops melanostictus,,,,,,,,,,,3.85,9,,,,,,,,,,,,,,,50,9,,,X,,,,,
Acrididae,Cedarinia limbatella,,,,,,,,,6.5,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Ceracris deflorata,,,,,,,,,,,4.875,10,,,,,,,,,,,,,,,18,10,,,,,,X,,
Acrididae,Cirphula pyrrhocnemis,,,,,,,,,5.1,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Chloroplus cactocaetes,,,,,,,,,,,4.07,55,1.07,55,,,,,,,,,,,,,9.5,55,,,,,,,,
Acrididae,Choroedocus capensis,37.5,52,60.2,52,48.85,52,48.85,52,8,52,5.4,10,,,76.75,52,,,,,Univoltine,52,1,0,0,0,79.5,10,,,,,,,,
Acrididae,Chorthippus albomarginatus,14,2,19.5,2,16.75,2,16.75,2,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,
Acrididae,Chorthippus apricarius,14.5,2,19,2,16.75,2,16.75,2,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,
