Pielomastax cladopygidium
Caenomastax bimaculata
Caenomastax insignis
Caenomastax magdalensis
Caenomastax similis
Arrolla rotamah
Pareremus callabonnensis
Acheta domesticus
Gryllus campestris
Gryllus firmus
Gryllus integer
Gryllus pennsylvanicus
Modicogryllus frontalis
Myrmecophilus acervorum
Nemobius sylvestris
Neoxabea bipunctata
Oecanthus exclamationis
Oecanthus latipennis
Oecanthus nigricornis
Oecanthus niveus
Oecanthus pellucens
Oecanthus pini
Oecanthus quadripunctatus
Pteronemobius heydenii
Teleogryllus emma
Gryllotalpa gryllotalpa
Cyrpsicerus cubicus
Leatettix denticornis
Leatettix derula
Leatettix emole
Leatettix emota
Leatettix erymna
Leatettix fala
Leatettix laticornis
Leatettix limbi
Leatettix monto
Leatettix moraki
Leatettix nama
Leatettix nasuata
Leatettix noteta
Leatettix pota
Leatettix ratoza
Leatettix selupa
Leatettix selupina
Leatettix sipina
Leatettix sopika
Leatettix sulefa
Leatettix timusa
Leatettix tiono
Leatettix tsaoba
Leatettix ukami
Leatettix vume
Leatettix wigi
Leatettix wotafa
Leatettix zetti
Leatettix zomana
Eneremius pusillus
Mastacides pterolepis
Mastacides pupaeformis
Mastacides vaginalis
Myrmecophilus orientalis
Acinipe segurensis
Acrostira euphorbiae
Atrichotmethis semenovi
Eoeotmethis longipennis
Eotmethis indigotibialis
Eotmethis shizuishanensis
Eunapiodes granosus
Filchnerella beicki
Filchnerella kukunris
Filchnerella qilianshanensis
Filchnerella sunanensis
Haplotropis brunneriana
Prionotropis hystrix
Bullacris membracioides
Anchocoema bidentata
Astroma saltense
Pyrgacris descampsi
Pyrgacris relictus
Atractomorpha australis
Attractomorpha crenulata
Attractomorpha hypoestes
Atractomorpha similis
Aularches miliaris
Colemania sphenarioides
Chrotogonus hemipterus
Chrotogonus homalodemus
Dictyophorus griseus
Dictyophorus spumans
Greyacris profundesulcata
Maura rubroornata
Monistria concinna
Monistria pustulifera
Phymateus baccatus
Phymateus iris
Phymateus leprosus
Phymateus madagassus
Phymateus morbillosus
Phymateus saxosus
Phymateus virdipes
Poekilocerus bufonius
Poekilocerus pictus
Pyrgomorpha conica
Pyrgomorpha vignaudii
Rubellia nigrosignata
Sphenarium purpurascens
Stibarosterna serrata
Taphronota calliparea
Zonocerus elegans
Zonocerus variegatus
Ischyroplectron isolatum
Isoplectron armatum
Isoplectron calcaratum
Macropathus huttoni
Neonetus pilosus
Neonetus variegatus
Pachyrhamma edwardsii 
Pharmacus montanus
Pleioplectron diversum
Pleioplectron hudsoni
Pleioplectron pectinatum
Pleioplectron simplex
Tachycines asynamorus
Talitropsis crassicruris
Talitropsis irregularis
Talitropsis sedilotti
Ripipteryx diegoi
Ripipteryx gorgonaensis
Ripipteryx guacharoensis
Acrydium latreillei
Brachystola magna
Chromacris speciosa
Romalea microptera
Taeniopoda eques
Taeniopoda reticulate
Tropidacris collaris
Tropidacris cristata
Schizodactylus minor
Schizodactylus monstrous
Stenopelmatopterus sartorianus
Stenopelmatus guatemalae
Stenopelmatus minor
